title,artist,rank,genre
Zombie,The Cranberries,80,rock
Body Talks,The Struts,81,rock
You're The Best Thing About Me,U2,82,rock
I Hope You're Happy,Blue October,83,rock
Handyman,AWOLNATION,84,rock
Get Up,Shinedown,85,rock
Love It If We Made It,The 1975,86,rock
Get Out,CHVRCHES,87,rock
Unstoppable,The Score,88,rock
One More Light,Linkin Park,89,rock
The Resistance,Skillet,90,rock
Scary Love,The Neighbourhood,91,rock
Mantra,Bring Me The Horizon,92,rock
Zero,Imagine Dragons,93,rock
Infra-Red,Three Days Grace,94,rock
Something Human,Muse,95,rock
Shame,Elle King,96,rock
Chlorine,twenty one pilots,97,rock
Give Yourself A Try,The 1975,98,rock
Immigrant Song,Led Zeppelin,99,rock
The Last Of The Real Ones,Fall Out Boy,100,rock
High Hopes,Panic! At The Disco,1,rock
"Hey Look Ma, I Made It",Panic! At The Disco,2,rock
Natural,Imagine Dragons,3,rock
Broken,lovelytheband,4,rock
Bad Liar,Imagine Dragons,5,rock
Chlorine,twenty one pilots,6,rock
Bohemian Rhapsody,Queen,7,rock
I Think I'm OKAY,Machine Gun Kelly X YUNGBLUD X Travis Barker,8,rock
100 Bad Days,AJR,9,rock
Gloria,The Lumineers,10,rock
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May",11,rock
Ready To Let Go,Cage The Elephant,12,rock
Shotgun,George Ezra,13,rock
My Blood,twenty one pilots,14,rock
Lo/Hi,The Black Keys,15,rock
11 Minutes,YUNGBLUD & Halsey Featuring Travis Barker,16,rock
Another One Bites The Dust,Queen,17,rock
Guiding Light,Mumford & Sons,18,rock
Cringe,Matt Maeson,19,rock
Somebody To Love,Queen,20,rock
Unsainted,Slipknot,21,rock
We Will Rock You,Queen,22,rock
Hurt,Oliver Tree,23,rock
Superposition,Young The Giant,24,rock
Don't Stop Me Now,Queen,25,rock
BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars,26,rock
You're Somebody Else,flora cash,27,rock
Under Your Scars,Godsmack,28,rock
Alligator,Of Monsters And Men,29,rock
Almost (Sweet Music),Hozier,30,rock
Under Pressure,Queen & David Bowie,31,rock
Missed Connection,The Head And The Heart,32,rock
The Hype,twenty one pilots,33,rock
We Are The Champions,Queen,34,rock
Harmony Hall,Vampire Weekend,35,rock
Fear Inoculum,Tool,36,rock
Killer Queen,Queen,37,rock
Movement,Hozier,38,rock
Monsters,Shinedown,39,rock
Go,The Black Keys,40,rock
Social Cues,Cage The Elephant,41,rock
This Life,Vampire Weekend,42,rock
Pressure,Muse,43,rock
The Greatest Show,Panic! At The Disco,44,rock
Longshot,Catfish And The Bottlemen,45,rock
Zero,Imagine Dragons,46,rock
Love It If We Made It,The 1975,47,rock
S.O.S. (Sawed Off Shotgun),The Glorious Sons,48,rock
Joy,Bastille,49,rock
I Want To Break Free,Queen,50,rock
Breaking Down,I Prevail,51,rock
You're The One,Greta Van Fleet,52,rock
Radio Ga Ga (Live Aid),Queen,53,rock
Beloved,Mumford & Sons,54,rock
Radio Ga Ga,Queen,55,rock
"""99""",Barns Courtney,56,rock
Borderline,Tame Impala,57,rock
Fat Bottomed Girls,Queen,58,rock
Get Up,Shinedown,59,rock
Last Day Under The Sun,Volbeat,60,rock
Crazy Little Thing Called Love,Queen,61,rock
still feel.,half alive,62,rock
Remember When,Bad Wolves,63,rock
Dance Macabre,Ghost,64,rock
Outnumbered,Dermot Kennedy,65,rock
Father Of All...,Green Day,66,rock
Power Over Me,Dermot Kennedy,67,rock
Peer Pressure,James Bay Featuring Julia Michaels,68,rock
I Guess I Just Feel Like,John Mayer,69,rock
16,Highly Suspect,70,rock
Worst Nites,Foster The People,71,rock
Home,morgxn Featuring WALK THE MOON,72,rock
Hammer To Fall (Live Aid),Queen,73,rock
Blame It On My Youth,Blink-182,74,rock
Patience,Tame Impala,75,rock
Are You Bored Yet?,Wallows Featuring Clairo,76,rock
When Legends Rise,Godsmack,77,rock
Forgive Me Friend,Smith & Thell Featuring Swedish Jam Factory,78,rock
Machine,Imagine Dragons,79,rock
It's Not Living (If It's Not With You),The 1975,80,rock
