title,artist,rank,genre,year
Perfect Strangers,Jonas Blue Featuring JP Cooper,27,pop,2016
Sex,Cheat Codes x Kris Kross Amsterdam,28,pop,2016
Magnets,Disclosure Featuring Lorde,29,pop,2016
Let Me Hold You (Turn Me On),Cheat Codes & Dante Klein,30,pop,2016
In My Room,Yellow Claw & DJ Mustard Featuring Ty Dolla $ign & Tyga,31,pop,2016
Be Right There,Diplo & Sleepy Tom,32,pop,2016
This One's For You,David Guetta Featuring Zara Larsson,33,pop,2016
Running Out,Matoma & Astrid S,34,pop,2016
Candyman,Zedd & Aloe Blacc,35,pop,2016
Daddy,PSY Featuring CL,36,pop,2016
Inside Out,The Chainsmokers Featuring Charlee,37,pop,2016
Coming Over,Dillon Francis & Kygo Featuring James Hersey,38,pop,2016
Hold My Hand,Jess Glynne,39,pop,2016
Bailar,Deorro Featuring Pitbull & Elvis Crespo,40,pop,2016
The Buzz,"Hermitude Featuring Big K.R.I.T., Mataya & Young Tapz",41,pop,2016
Bonbon,Era Istrefi,42,pop,2016
Working For It,ZHU x Skrillex x THEY,43,pop,2016
I Wanna Know,Alesso Featuring Nico & Vinz,44,pop,2016
False Alarm,Matoma & Becky Hill,45,pop,2016
Tears,Clean Bandit Featuring Louisa Johnson,46,pop,2016
Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",47,pop,2016
Gyal You A Party Animal,Charly Black,48,pop,2016
Sing Me To Sleep,Alan Walker,49,pop,2016
Kings Of Summer,ayokay Featuring Quinn XCII,50,pop,2016
Carry Me,Kygo Featuring Julia Michaels,51,pop,2016
Omen,Disclosure Featuring Sam Smith,52,pop,2016
Raging,Kygo Featuring Kodaline,53,pop,2016
Talk,DJ Snake Featuring George Maple,54,pop,2016
Until You Were Gone,The Chainsmokers & Tritonal Featuring Emily Warren,55,pop,2016
How To Love,Cash Cash Featuring Sofia Reyes,56,pop,2016
Gone,Afrojack Featuring Ty Dolla $ign,57,pop,2016
You Know You Like It,DJ Snake & AlunaGeorge,58,pop,2016
I'm In Control,AlunaGeorge Featuring Popcaan,59,pop,2016
The Half,"DJ Snake Featuring Jeremih, Young Thug & Swizz Beatz",60,pop,2016
Bring Back The Summer,Rain Man Featuring OLY,61,pop,2016
Cruel,Snakehips Featuring Zayn,62,pop,2016
Here For You,Kygo Featuring Ella Henderson,63,pop,2016
Millionaire,Cash Cash & Digital Farm Animals Featuring Nelly,64,pop,2016
Back 2 U,Steve Aoki & Boehm Featuring WALK THE MOON,65,pop,2016
Higher Place,Dimitri Vegas & Like Mike Featuring Ne-Yo,66,pop,2016
Whole Heart,Gryffin And Bipolar Sunshine,67,pop,2016
Ocean Drive,Duke Dumont,68,pop,2016
Takes My Body Higher,Shoffy Featuring Lincoln Jesser,69,pop,2016
Shelter,Porter Robinson & Madeon,70,pop,2016
All Of Me,Big Gigantic Featuring Logic & ROZES,71,pop,2016
Something Better,Audien Featuring Lady Antebellum,72,pop,2016
Heading Home,Gryffin Featuring Josef Salvat,73,pop,2016
Kill The Lights,"Alex Newell, Jess Glynne & DJ Cassidy With Nile Rodgers",74,pop,2016
Smoke Filled Room,Mako,75,pop,2016
Mind,Skrillex & Diplo Featuring Kai,76,pop,2016
High And Low,Empire Of The Sun,77,pop,2016
The Girl Is Mine,99 Souls Featuring Destiny's Child & Brandy,78,pop,2016
Broken Arrows,Avicii,79,pop,2016
New York City,The Chainsmokers,80,pop,2016
Keep It Mello,Marshmello Featuring Omar LinX,81,pop,2016
Hey,Fais Featuring Afrojack,82,pop,2016
Paradise,Benny Benassi & Chris Brown,83,pop,2016
Red Lips,GTA Featuring Sam Bruno,84,pop,2016
Sunset Lover,Petit Biscuit,85,pop,2016
Lone Digger,Caravan Palace,86,pop,2016
