title,artist,rank,genre,year
Rx (Medicate),Theory Of A Deadman,27,pop,2017
Numb,Linkin Park,28,pop,2017
Run,Foo Fighters,29,pop,2017
Still Breathing,Green Day,30,pop,2017
In The End,Linkin Park,31,pop,2017
Walk On Water,Thirty Seconds To Mars,32,pop,2017
Hard Love,NEEDTOBREATHE,33,pop,2017
Feels Like Summer,Weezer,34,pop,2017
On Hold,The xx,35,pop,2017
Hymn For The Weekend,Coldplay,36,pop,2017
Waste A Moment,Kings Of Leon,37,pop,2017
Cleopatra,The Lumineers,38,pop,2017
My Name Is Human,Highly Suspect,39,pop,2017
Don't Take The Money,Bleachers,40,pop,2017
Testify,NEEDTOBREATHE,41,pop,2017
Good News,Ocean Park Standoff,42,pop,2017
High,Sir Sly,43,pop,2017
Saturnz Barz,Gorillaz Featuring Popcaan,44,pop,2017
Help,Papa Roach,45,pop,2017
Lay It On Me,Vance Joy,46,pop,2017
Free Fallin',Tom Petty,47,pop,2017
Love Is Mystical,Cold War Kids,48,pop,2017
Suit And Jacket,Judah & The Lion,49,pop,2017
Somebody Else,The 1975,50,pop,2017
The Way You Used To Do,Queens Of The Stone Age,51,pop,2017
Little One,Highly Suspect,52,pop,2017
Black Hole Sun,Soundgarden,53,pop,2017
Walking The Wire,Imagine Dragons,54,pop,2017
Everything Now,Arcade Fire,55,pop,2017
Song #3,Stone Sour,56,pop,2017
I Won't Back Down,Tom Petty,57,pop,2017
How Did You Love,Shinedown,58,pop,2017
Dig Down,Muse,59,pop,2017
The Violence,Rise Against,60,pop,2017
She's Out Of Her Mind,Blink-182,61,pop,2017
The Sky Is A Neighborhood,Foo Fighters,62,pop,2017
You're The Best Thing About Me,U2,63,pop,2017
Middle Fingers,MISSIO,64,pop,2017
Cold Cold Cold,Cage The Elephant,65,pop,2017
In The Blood,John Mayer,66,pop,2017
What I've Done,Linkin Park,67,pop,2017
Lights Out,Royal Blood,68,pop,2017
Blame,Bastille,69,pop,2017
Fire Escape,Andrew McMahon In The Wilderness,70,pop,2017
Mr. Blue Sky,Electric Light Orchestra,71,pop,2017
"Atlas, Rise!",Metallica,72,pop,2017
Not Easy,"Alex Da Kid Featuring X Ambassadors, Elle King & Wiz Khalifa",73,pop,2017
Champion,Fall Out Boy Featuring RM,74,pop,2017
The Last Of The Real Ones,Fall Out Boy,75,pop,2017
Want You Back,HAIM,76,pop,2017
Super Far,LANY,77,pop,2017
Mary Jane's Last Dance,Tom Petty And The Heartbreakers,78,pop,2017
The Chain,Fleetwood Mac,79,pop,2017
Andromeda,Gorillaz Featuring D.R.A.M.,80,pop,2017
Vacation,Dirty Heads,81,pop,2017
Ahead Of Myself,X Ambassadors,82,pop,2017
Highway Tune,Greta Van Fleet,83,pop,2017
Monster,Starset,84,pop,2017
Crawling,Linkin Park,85,pop,2017
Two High,Moon Taxi,86,pop,2017
Reverend,Kings Of Leon,87,pop,2017
All The Pretty Girls,KALEO,88,pop,2017
Sleep On The Floor,The Lumineers,89,pop,2017
Up All Night,Beck,90,pop,2017
Like A Stone,Audioslave,91,pop,2017
Let You Down,Seether,92,pop,2017
Go Robot,Red Hot Chili Peppers,93,pop,2017
Square Hammer,Ghost,94,pop,2017
In Cold Blood,alt-J,95,pop,2017
The Cure,Unspoken,96,pop,2017
Young And Menace,Fall Out Boy,97,pop,2017
Stars,Skillet,98,pop,2017
Wild Horses,Bishop Briggs,99,pop,2017
Alone,I Prevail,100,pop,2017
Thunder,Imagine Dragons,1,pop,2018
Feel It Still,Portugal. The Man,2,pop,2018
Believer,Imagine Dragons,3,pop,2018
Whatever It Takes,Imagine Dragons,4,pop,2018
Natural,Imagine Dragons,5,pop,2018
Sit Next To Me,Foster The People,6,pop,2018
Broken,lovelytheband,7,pop,2018
Zombie,Bad Wolves,8,pop,2018
High Hopes,Panic! At The Disco,9,pop,2018
Africa,Weezer,10,pop,2018
No Roots,Alice Merton,11,pop,2018
Say Amen (Saturday Night),Panic! At The Disco,12,pop,2018
One Foot,WALK THE MOON,13,pop,2018
New Light,John Mayer,14,pop,2018
Jumpsuit,twenty one pilots,15,pop,2018
Gone Away,Five Finger Death Punch,16,pop,2018
Bulletproof,Godsmack,17,pop,2018
Walk On Water,Thirty Seconds To Mars,18,pop,2018
Live In The Moment,Portugal. The Man,19,pop,2018
Rx (Medicate),Theory Of A Deadman,20,pop,2018
Nico And The Niners,twenty one pilots,21,pop,2018
My Blood,twenty one pilots,22,pop,2018
I Feel Like I'm Drowning,Two Feet,23,pop,2018
Devil,Shinedown,24,pop,2018
Thought Contagion,Muse,25,pop,2018
Sham Pain,Five Finger Death Punch,26,pop,2018
Up All Night,Beck,27,pop,2018
Hunger,Florence + The Machine,28,pop,2018
Hold Me Tight Or Don't,Fall Out Boy,29,pop,2018
Saturday Sun,Vance Joy,30,pop,2018
Bohemian Rhapsody,Queen,31,pop,2018
Red Cold River,Breaking Benjamin,32,pop,2018
You Worry Me,Nathaniel Rateliff & The Night Sweats,33,pop,2018
When The Curtain Falls,Greta Van Fleet,34,pop,2018
"Hey Look Ma, I Made It",Panic! At The Disco,35,pop,2018
&Run,Sir Sly,36,pop,2018
Dangerous Night,Thirty Seconds To Mars,37,pop,2018
Hear Me Now,Bad Wolves Featuring DIAMANTE,38,pop,2018
Shotgun,George Ezra,39,pop,2018
Next To Me,Imagine Dragons,40,pop,2018
Quarter Past Midnight,Bastille,41,pop,2018
Ghost,Badflower,42,pop,2018
Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,43,pop,2018
Gold Rush,Death Cab For Cutie,44,pop,2018
The Mountain,Three Days Grace,45,pop,2018
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May",46,pop,2018
Kamikaze,WALK THE MOON,47,pop,2018
Blood // Water,grandson,48,pop,2018
Confidence,Sanctus Real,49,pop,2018
Rats,Ghost,50,pop,2018
World Gone Mad,Bastille,51,pop,2018
Humility,Gorillaz Featuring George Benson,52,pop,2018
Are You Ready,Disturbed,53,pop,2018
Wish I Knew You,The Revivalists,54,pop,2018
Guiding Light,Mumford & Sons,55,pop,2018
All My Friends,The Revivalists,56,pop,2018
Born For Greatness,Papa Roach,57,pop,2018
The Sky Is A Neighborhood,Foo Fighters,58,pop,2018
Run For Cover,The Killers,59,pop,2018
(Fuck A) Silver Lining,Panic! At The Disco,60,pop,2018
Safari Song,Greta Van Fleet,61,pop,2018
You're Somebody Else,flora cash,62,pop,2018
Where's My Love,SYML,63,pop,2018
Miracle,CHVRCHES,64,pop,2018
Hurt Somebody,Noah Kahan & Julia Michaels,65,pop,2018
She's Kerosene,The Interrupters,66,pop,2018
Levitate,twenty one pilots,67,pop,2018
We Will Rock You,Queen,68,pop,2018
Wild Love,James Bay,69,pop,2018
Roaring 20s,Panic! At The Disco,70,pop,2018
Come Together,Gary Clark Jr.,71,pop,2018
King Of The Clouds,Panic! At The Disco,72,pop,2018
Happy Hour,Weezer,73,pop,2018
Walking On Water,NEEDTOBREATHE,74,pop,2018
Another One Bites The Dust,Queen,75,pop,2018
Lay It On Me,Vance Joy,76,pop,2018
The Gold,Manchester Orchestra,77,pop,2018
I Only Lie When I Love You,Royal Blood,78,pop,2018
Waking Lions,Pop Evil,79,pop,2018
Zombie,The Cranberries,80,pop,2018
Body Talks,The Struts,81,pop,2018
You're The Best Thing About Me,U2,82,pop,2018
I Hope You're Happy,Blue October,83,pop,2018
Handyman,AWOLNATION,84,pop,2018
Get Up,Shinedown,85,pop,2018
Love It If We Made It,The 1975,86,pop,2018
Get Out,CHVRCHES,87,pop,2018
Unstoppable,The Score,88,pop,2018
One More Light,Linkin Park,89,pop,2018
The Resistance,Skillet,90,pop,2018
Scary Love,The Neighbourhood,91,pop,2018
Mantra,Bring Me The Horizon,92,pop,2018
Zero,Imagine Dragons,93,pop,2018
Infra-Red,Three Days Grace,94,pop,2018
Something Human,Muse,95,pop,2018
