title,artist,rank,genre,year
Tin Man,Miranda Lambert,43,pop,2017
My Old Man,Zac Brown Band,44,pop,2017
Fix A Drink,Chris Janson,45,pop,2017
Round Here Buzz,Eric Church,46,pop,2017
Road Less Traveled,Lauren Alaina,47,pop,2017
Kill A Word,Eric Church Featuring Rhiannon Giddens,48,pop,2017
Losing Sleep,Chris Young,49,pop,2017
Today,Brad Paisley,50,pop,2017
May We All,Florida Georgia Line Featuring Tim McGraw,51,pop,2017
Dirty Laundry,Carrie Underwood,52,pop,2017
Sober Saturday Night,Chris Young Featuring Vince Gill,53,pop,2017
Ask Me How I Know,Garth Brooks,54,pop,2017
Yours,Russell Dickerson,55,pop,2017
Light It Up,Luke Bryan,56,pop,2017
Ring On Every Finger,LOCASH,57,pop,2017
Broken Halos,Chris Stapleton,58,pop,2017
You Broke Up With Me,Walker Hayes,59,pop,2017
Seein' Red,Dustin Lynch,60,pop,2017
Somethin' I'm Good At,Brett Eldredge,61,pop,2017
Wanna Be That Song,Brett Eldredge,62,pop,2017
Speak To A Girl,Tim McGraw & Faith Hill,63,pop,2017
Bar At The End Of The World,Kenny Chesney,64,pop,2017
Like I Loved You,Brett Young,65,pop,2017
I'll Name The Dogs,Blake Shelton,66,pop,2017
A Girl Like You,Easton Corbin,67,pop,2017
Smooth,Florida Georgia Line,68,pop,2017
80s Mercedes,Maren Morris,69,pop,2017
Last Time For Everything,Brad Paisley,70,pop,2017
Five More Minutes,Scotty McCreery,71,pop,2017
All On Me,Devin Dawson,72,pop,2017
Song For Another Time,Old Dominion,73,pop,2017
There's A Girl,Trent Harmon,74,pop,2017
Setting The World On Fire,Kenny Chesney Featuring P!nk,75,pop,2017
Legends,Kelsea Ballerini,76,pop,2017
Make You Mine,High Valley,77,pop,2017
If The Boot Fits,Granger Smith,78,pop,2017
The Way I Talk,Morgan Wallen,79,pop,2017
We Should Be Friends,Miranda Lambert,80,pop,2017
Written In The Sand,Old Dominion,81,pop,2017
Boy,Lee Brice,82,pop,2017
How I'll Always Be,Tim McGraw,83,pop,2017
Outta Style,Aaron Watson,84,pop,2017
A Little More Summertime,Jason Aldean,85,pop,2017
Parachute,Chris Stapleton,86,pop,2017
Holdin' Her,Chris Janson,87,pop,2017
Makin' Me Look Good Again,Drake White,88,pop,2017
Either Way,Chris Stapleton,89,pop,2017
Love Triangle,RaeLynn,90,pop,2017
California,Big & Rich,91,pop,2017
Singles You Up,Jordan Davis,92,pop,2017
Outskirts Of Heaven,Craig Campbell,93,pop,2017
"Baby, Let's Lay Down And Dance",Garth Brooks,94,pop,2017
Sleep Without You,Brett Young,95,pop,2017
Middle Of A Memory,Cole Swindell,96,pop,2017
The Long Way,Brett Eldredge,97,pop,2017
Tennessee Whiskey,Chris Stapleton,98,pop,2017
Found You,Kane Brown,99,pop,2017
Good Company,Jake Owen,100,pop,2017
Meant To Be,Bebe Rexha & Florida Georgia Line,1,pop,2018
Heaven,Kane Brown,2,pop,2018
Tequila,Dan + Shay,3,pop,2018
You Make It Easy,Jason Aldean,4,pop,2018
Marry Me,Thomas Rhett,5,pop,2018
One Number Away,Luke Combs,6,pop,2018
Simple,Florida Georgia Line,7,pop,2018
Get Along,Kenny Chesney,8,pop,2018
Mercy,Brett Young,9,pop,2018
Up Down,Morgan Wallen Featuring Florida Georgia Line,10,pop,2018
Most People Are Good,Luke Bryan,11,pop,2018
Take Back Home Girl,Chris Lane Featuring Tori Kelly,12,pop,2018
Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert,13,pop,2018
Break Up In The End,Cole Swindell,14,pop,2018
Broken Halos,Chris Stapleton,15,pop,2018
"Sunrise, Sunburn, Sunset",Luke Bryan,16,pop,2018
