title,artist,rank,genre,year
O'Lord,Lauren Daigle,13,Christian,2018
The Breakup Song,Francesca Battistelli,14,Christian,2018
Resurrection Power,Chris Tomlin,15,Christian,2018
Known,Tauren Wells,16,Christian,2018
Control (Somehow You Want Me),Tenth Avenue North,17,Christian,2018
Head Above Water,Avril Lavigne,18,Christian,2018
O Come To The Altar,Elevation Worship,19,Christian,2018
Counting Every Blessing,Rend Collective,20,Christian,2018
No Matter What,Ryan Stevenson Featuring Bart Millard,21,Christian,2018
God Of All My Days,Casting Crowns,22,Christian,2018
Everything,tobyMac,23,Christian,2018
The Way (New Horizon),Pat Barrett,24,Christian,2018
Old Church Choir,Zach Williams,25,Christian,2018
When We Pray,Tauren Wells,26,Christian,2018
Witness,Jordan Feliz,27,Christian,2018
Freedom Hymn,Austin French,28,Christian,2018
What A Friend,Matt Maher,29,Christian,2018
Different,Micah Tyler,30,Christian,2018
Living Hope,Phil Wickham,31,Christian,2018
Even Then,Micah Tyler,32,Christian,2018
All In,Matthew West,33,Christian,2018
Even If,MercyMe,34,Christian,2018
Confidence,Sanctus Real,35,Christian,2018
More Than Anything,Natalie Grant,36,Christian,2018
Heaven On Earth,Stars Go Dim,37,Christian,2018
Walking On Water,NEEDTOBREATHE,38,Christian,2018
Bleed The Same,Mandisa Featuring tobyMac,39,Christian,2018
Come To The Table,Sidewalk Prophets,40,Christian,2018
So Will I (100 Billion X),Hillsong Worship,41,Christian,2018
Only Jesus,Casting Crowns,42,Christian,2018
Jesus I Believe,Big Daddy Weave,43,Christian,2018
Broken Things,Matthew West,44,Christian,2018
Broken Prayers,Riley Clemmons,45,Christian,2018
Dream Small,Josh Wilson,46,Christian,2018
Still Rolling Stones,Lauren Daigle,47,Christian,2018
Death Was Arrested,North Point InsideOut Featuring Seth Condrey,48,Christian,2018
Gracefully Broken,Matt Redman Featuring Tasha Cobbs Leonard,49,Christian,2018
Look Up Child,Lauren Daigle,50,Christian,2018
Just Give Me Jesus,Unspoken,51,Christian,2018
Beautiful Day,Mike Smith & Jonathan Hay,52,Christian,2018
Wherever I Go,Dan Bremnes,53,Christian,2018
He Still Does (Miracles),Hawk Nelson,54,Christian,2018
Miracle,Unspoken,55,Christian,2018
Good News,Mandisa,56,Christian,2018
Rescue,Lauren Daigle,57,Christian,2018
Rescuer (Good News),Rend Collective,58,Christian,2018
Point To You,We Are Messengers,59,Christian,2018
Stand In Your Love,Josh Baldwin,60,Christian,2018
Masterpiece,Danny Gokey,61,Christian,2018
Warrior,Hannah Kerr,62,Christian,2018
My Feet Are On The Rock,I AM THEY,63,Christian,2018
I Can Only Imagine (The Movie Session),MercyMe,64,Christian,2018
New Wine,Hillsong Worship,65,Christian,2018
No One Like Our God,Lincoln Brewster,66,Christian,2018
Tremble,Mosaic MSC,67,Christian,2018
I'll Find You,Lecrae Featuring Tori Kelly,68,Christian,2018
Never Alone,Tori Kelly Featuring Kirk Franklin,69,Christian,2018
If You Ain't In It,Danny Gokey,70,Christian,2018
Till I Found You,Phil Wickham,71,Christian,2018
Word Of Life,Jeremy Camp,72,Christian,2018
Beautifully Broken,Plumb,73,Christian,2018
Gotta Live,Tedashii Featuring Jordan Feliz,74,Christian,2018
Forever On Your Side,NEEDTOBREATHE Featuring JOHNNYSWIM,75,Christian,2018
Nobody Loves Me Like You,Chris Tomlin,76,Christian,2018
The Answer,Jeremy Camp,77,Christian,2018
God Only Knows,for KING & COUNTRY,78,Christian,2018
Your Love Defends Me,Matt Maher,79,Christian,2018
Shelter,Carrollton,80,Christian,2018
Let Go,Hillsong Young & Free,81,Christian,2018
Face To Face,Mat Kearney,82,Christian,2018
Touch Of Heaven,Hillsong Worship,83,Christian,2018
God Help Me,Plumb,84,Christian,2018
Right On Time,Aaron Cole Featuring tobyMac,85,Christian,2018
Amazing Grace,Brooke Simpson,86,Christian,2018
War Cry,Social Club Misfits Featuring Tauren Wells,87,Christian,2018
Survivor,Zach Williams,88,Christian,2018
Love Like This,Lauren Daigle,89,Christian,2018
Reckless Love,Passion Featuring Melodie Malone,90,Christian,2018
This Girl,Lauren Daigle,91,Christian,2018
Here Again,Elevation Worship,92,Christian,2018
O Holy Night,Brooke Simpson,93,Christian,2018
Surrounded (Fight My Battles),Michael W. Smith,94,Christian,2018
Little Drummer Boy (Live From Phoenix),for KING & COUNTRY,95,Christian,2018
Fight For Me,GAWVI Featuring Lecrae,96,Christian,2018
Won't Stop Now,Elevation Worship,97,Christian,2018
Hard Love,NEEDTOBREATHE,98,Christian,2018
Broke,Lecrae,99,Christian,2018
Happy Dance,MercyMe,100,Christian,2018
You Say,Lauren Daigle,1,Christian,2019
God Only Knows,for KING & COUNTRY,2,Christian,2019
Raise A Hallelujah,"Bethel Music, Jonathan David Helser & Melissa Helser",3,Christian,2019
Rescue,Lauren Daigle,4,Christian,2019
Haven't Seen It Yet,Danny Gokey,5,Christian,2019
Who You Say I Am,Hillsong Worship,6,Christian,2019
Only Jesus,Casting Crowns,7,Christian,2019
Resurrecting,Elevation Worship,8,Christian,2019
Nobody,Casting Crowns Featuring Matthew West,9,Christian,2019
Scars,I AM THEY,10,Christian,2019
Look Up Child,Lauren Daigle,11,Christian,2019
God's Not Done With You,Tauren Wells,12,Christian,2019
Symphony,Switch Featuring Dillon Chase,13,Christian,2019
Maybe It's Ok,We Are Messengers,14,Christian,2019
Yes I Will,Vertical Worship,15,Christian,2019
Best News Ever,MercyMe,16,Christian,2019
Known,Tauren Wells,17,Christian,2019
Build My Life,Pat Barrett,18,Christian,2019
Stand In Your Love,Josh Baldwin,19,Christian,2019
Dead Man Walking,Jeremy Camp,20,Christian,2019
Follow God,Kanye West,21,Christian,2019
Reckless Love,Cory Asbury,22,Christian,2019
Head Above Water,Avril Lavigne,23,Christian,2019
Reason,Unspoken,24,Christian,2019
Alive,Big Daddy Weave,25,Christian,2019
Let It Rain (Is There Anybody),Crowder Featuring Mandisa,26,Christian,2019
Red Letters,Crowder,27,Christian,2019
Church (Take Me Back),Cochren & Co.,28,Christian,2019
Till I Found You,Phil Wickham,29,Christian,2019
Rescue Story,Zach Williams,30,Christian,2019
The Christmas Song,Lauren Daigle,31,Christian,2019
Everything,tobyMac,32,Christian,2019
Even Then,Micah Tyler,33,Christian,2019
Greatness Of Our God,newsboys,34,Christian,2019
Fear No More,Building 429,35,Christian,2019
Closed On Sunday,Kanye West,36,Christian,2019
Is He Worthy?,Chris Tomlin,37,Christian,2019
joy.,for KING & COUNTRY,38,Christian,2019
With Lifted Hands,Ryan Stevenson,39,Christian,2019
Fighting For Me,Riley Clemmons,40,Christian,2019
Selah,Kanye West,41,Christian,2019
Survivor,Zach Williams,42,Christian,2019
On God,Kanye West,43,Christian,2019
Prize Worth Fighting For,Jamie Kimmett,44,Christian,2019
Burn The Ships,for KING & COUNTRY,45,Christian,2019
Everything We Need,Kanye West Featuring Ty Dolla $ign & Ant Clemons,46,Christian,2019
I'm Gonna Let It Go,Jason Gray,47,Christian,2019
Whole Heart (Hold Me Now),Hillsong UNITED,48,Christian,2019
Use This Gospel,Kanye West Featuring Clipse & Kenny G,49,Christian,2019
Changed,Jordan Feliz,50,Christian,2019
Legendary,Skillet,51,Christian,2019
God Is,Kanye West,52,Christian,2019
Well Done,The Afters,53,Christian,2019
Another In The Fire,Hillsong UNITED & TAYA,54,Christian,2019
Good Grace,Hillsong UNITED,55,Christian,2019
Confidence,Sanctus Real,56,Christian,2019
Defender,Francesca Battistelli Featuring Steffany Gretzinger,57,Christian,2019
Up Again,Dan Bremnes,58,Christian,2019
Water,Kanye West Featuring Ant Clemons,59,Christian,2019
Power,We Are Messengers,60,Christian,2019
Nobody Loves Me Like You,Chris Tomlin,61,Christian,2019
Hands On,Kanye West Featuring Fred Hammond,62,Christian,2019
King Of Kings,Hillsong Worship,63,Christian,2019
Believer,Rhett Walker,64,Christian,2019
Born Again,Austin French,65,Christian,2019
Never Alone,Tori Kelly Featuring Kirk Franklin,66,Christian,2019
See A Victory,Elevation Worship,67,Christian,2019
Jesus Is Lord,Kanye West,68,Christian,2019
Nothing Else,Cody Carnes,69,Christian,2019
Split The Sea,Hannah Kerr,70,Christian,2019
Living Hope,Phil Wickham,71,Christian,2019
The God Who Stays,Matthew West,72,Christian,2019
As You Find Me,Hillsong UNITED,73,Christian,2019
Unstoppable God,Sanctus Real,74,Christian,2019
Greater Things,Mack Brock,75,Christian,2019
Greater Than All My Regrets,Tenth Avenue North,76,Christian,2019
Anchor,Skillet,77,Christian,2019
You Know Me Better,Stars Go Dim,78,Christian,2019
Still Rolling Stones,Lauren Daigle,79,Christian,2019
Ain't No Grave (Live),Bethel Music & Molly Skaggs,80,Christian,2019
Wherever I Go,Dan Bremnes,81,Christian,2019
Highlands (Song Of Ascent),Hillsong UNITED,82,Christian,2019
Surrounded (Fight My Battles),UPPERROOM,83,Christian,2019
Your Name Is Power,Rend Collective,84,Christian,2019
Goodness Of God (Live),Bethel Music & Jenn Johnson,85,Christian,2019
Why God,Austin French,86,Christian,2019
Mercy Is A Song,Matthew West,87,Christian,2019
Faith,Jordan Feliz,88,Christian,2019
The Breakup Song,Francesca Battistelli,89,Christian,2019
Native Tongue,Switchfoot,90,Christian,2019
Holy Water,We The Kingdom,91,Christian,2019
Let The Redeemed,Josh Baldwin,92,Christian,2019
Better,Pat Barrett,93,Christian,2019
With You (Paradoxology),Elevation Worship,94,Christian,2019
